Date,Open,High,Low,Close,Volume,Adjusted,AssetSymbol,DataSource
2016-09-27,113.0,113.18,112.339996,113.089996,24607400,112.026632,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-28,113.690002,114.639999,113.43,113.949997,29641100,112.878547,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-29,113.160004,113.800003,111.800003,112.18,35887000,111.125193,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-09-30,112.459999,113.370003,111.800003,113.050003,36379100,111.987015,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-03,112.709999,113.050003,112.279999,112.519997,21701800,111.461992,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-04,113.059998,114.309998,112.629997,113.0,29736800,111.937482,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-05,113.400002,113.660004,112.690002,113.050003,21453100,111.987015,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-06,113.699997,114.339996,113.129997,113.889999,28779300,112.819113,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-07,114.309998,114.559998,113.510002,114.059998,24358400,112.987513,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-10,115.019997,116.75,114.720001,116.050003,36236000,114.958807,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-11,117.699997,118.690002,116.199997,116.300003,64041000,115.206456,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-12,117.349998,117.980003,116.75,117.339996,37586800,116.23667,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-13,116.790001,117.440002,115.720001,116.980003,35192400,115.880062,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-14,117.879997,118.169998,117.129997,117.629997,35652200,116.523945,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-17,117.330002,117.839996,116.779999,117.550003,23624900,116.444703,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-18,118.18,118.209999,117.449997,117.470001,24553500,116.365453,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-19,117.25,117.760002,113.800003,117.120003,20034600,116.018745,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-20,116.860001,117.379997,116.330002,117.059998,24125800,115.959304,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-21,116.809998,116.910004,116.279999,116.599998,23192700,115.503631,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-24,117.099998,117.739998,117.0,117.650002,23538700,116.543761,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-25,117.949997,118.360001,117.309998,118.25,48129000,117.138118,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-26,114.309998,115.699997,113.309998,115.589996,66134200,114.503125,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-27,115.389999,115.860001,114.099998,114.480003,34562000,113.403569,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-28,113.870003,115.209999,113.449997,113.720001,37861700,112.650713,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-10-31,113.650002,114.230003,113.199997,113.540001,26419400,112.472406,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-01,113.459999,113.769997,110.529999,111.489998,43825800,110.441678,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-02,111.400002,112.349998,111.230003,111.589996,28331700,110.540737,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-03,110.980003,111.459999,109.550003,109.830002,26932600,109.35588,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-04,108.529999,110.25,108.110001,108.839996,30837000,108.370149,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-07,110.080002,110.510002,109.459999,110.410004,32560000,109.933378,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-08,110.309998,111.720001,109.699997,111.059998,24054500,110.580566,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-09,109.879997,111.32,108.050003,110.879997,59176400,110.401343,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-10,111.089996,111.089996,105.830002,107.790001,57134500,107.324686,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-11,107.120003,108.870003,106.550003,108.43,34143900,107.961922,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-14,107.709999,107.809998,104.080002,105.709999,51175500,105.253663,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-15,106.57,107.68,106.160004,107.110001,32264500,106.647621,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-16,106.699997,110.230003,106.599998,109.989998,58840500,109.515186,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-17,109.809998,110.349998,108.830002,109.949997,27632000,109.475358,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-18,109.720001,110.540001,109.660004,110.059998,28428900,109.584883,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-21,110.120003,111.989998,110.010002,111.730003,29264600,111.24768,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-22,111.949997,112.419998,111.400002,111.800003,25965500,111.317377,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-23,111.360001,111.510002,110.330002,111.230003,27426400,110.749838,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-25,111.129997,111.870003,110.949997,111.790001,11475900,111.307418,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2016-11-28,111.43,112.470001,111.389999,111.57,27194000,111.088367,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
